CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
09-1-050973,-13.665,138.634,6.0229,3.7976,0.0599,3.6801,3.9151
03-1-031826,-10.8487,199.548,8.44694,3.8507,0.0539,3.7451,3.9563
08-1-025443,5.92128,93.5214,14.3087,3.9405,0.0528,3.8371,4.0439
09-1-191842,-59.8105,162.964,9.23495,3.8289,0.0711,3.6896,3.9683
02-1-098367,26.81,224.474,6.55595,3.8841,0.0506,3.7849,3.9833
02-2-001396,45.8636,206.944,6.44925,3.8468,0.0557,3.7376,3.9559
03-1-110822,-38.4628,223.651,7.28634,3.9407,0.0498,3.8431,4.0383
02-1-152411,47.0104,241.796,13.0401,3.9211,0.0602,3.803,4.0391
02-1-090563,24.5592,207.974,6.45661,3.9247,0.0638,3.7996,4.0498
01-2-000634,87.2127,58.756,7.3083,3.5197,0.0732,3.3762,3.6632
02-1-041851,11.549,187.901,5.66912,3.5985,0.0657,3.4697,3.7274
02-1-110315,31.3443,190.744,6.98707,3.8794,0.0573,3.767,3.9918
09-1-065891,-17.1638,164.959,9.09947,3.8485,0.0682,3.7148,3.9822
01-1-000640,73.7257,257.434,14.3482,3.2528,0.0671,3.1212,3.3844
08-1-075390,19.0085,122.33,12.1484,3.9354,0.0506,3.8362,4.0346
08-1-050403,13.1657,111.121,11.5516,3.8662,0.0468,3.7745,3.9579
07-2-000013,-11.3785,64.5025,18.4592,3.9136,0.0637,3.7888,4.0384
07-1-002120,-44.2753,57.4905,18.4749,3.9494,0.0608,3.8302,4.0686
07-1-204958,-52.2856,37.3903,6.00129,3.3824,0.0488,3.2867,3.478
01-1-151153,65.6984,309.568,93.0199,3.9734,0.0691,3.838,4.1088
08-2-001496,42.3888,172.031,10.1422,3.853,0.0678,3.7201,3.9859
08-1-214839,57.8289,90.0986,9.94833,3.775,0.0704,3.637,3.9129
07-1-159688,-41.6087,13.5592,6.57901,3.8749,0.0605,3.7563,3.9935
05-1-000461,-29.9317,280.2,40.1925,3.7681,0.0782,3.6148,3.9215
02-1-094577,26.5207,237.28,26.3766,3.9269,0.053,3.8231,4.0308
07-1-014875,-4.36635,71.2987,6.28652,3.9201,0.0506,3.8209,4.0193
02-1-147775,45.891,240.345,6.93806,3.8704,0.0669,3.7393,4.0014
09-1-020933,-5.13182,100.32,8.36422,3.9469,0.0552,3.8388,4.0551
02-1-139967,43.043,214.007,12.455,3.9628,0.0531,3.8588,4.0668
04-2-010373,19.2207,273.412,12.5309,3.8591,0.0618,3.738,3.9802
04-2-019009,2.54119,323.926,7.97822,3.9116,0.0524,3.8088,4.0143
06-1-000985,11.1362,51.4296,22.1577,3.9578,0.0594,3.8413,4.0742
04-1-086882,42.7135,275.61,6.78926,3.9212,0.0744,3.7755,4.067
09-1-045937,-11.6681,98.6732,10.6144,3.8814,0.0702,3.7438,4.019
02-1-157392,48.9583,227.713,6.08149,3.8825,0.0577,3.7694,3.9956
06-2-000154,56.7196,47.5234,13.9415,3.9538,0.0575,3.8411,4.0665
